n_ws^third_difference,GSenergy_pa_arithmetic_average,BCCenergy_pa_min_value,BCCenergy_pa_composition_average,BCCenergy_pa_max_value,GSenergy_pa_max_value,GSenergy_pa_min_value,GSenergy_pa_composition_average,NpValence_difference,SecondIonizationEnergy_composition_average,NpValence_min_value,n_ws^third_min_value,AtomicRadii_arithmetic_average,phi_difference,BCCvolume_padiff_max_value,SecondIonizationEnergy_min_value,NUnfilled_composition_average,BCCenergy_pa_arithmetic_average,AtomicRadii_composition_average,IonicRadii_min_value,BCCfermi_difference,ElectronAffinity_difference,ICSDVolume_difference,BCCfermi_composition_average,NUnfilled_arithmetic_average,SecondIonizationEnergy_arithmetic_average,MeltingT_max_value,AtomicWeight_max_value,BCCfermi_arithmetic_average,AtomicNumber_max_value,BCCvolume_padiff_composition_average,MeltingT_difference,IonicRadii_difference,Number_max_value,Density_composition_average,ElectricalConductivity_difference,BCCvolume_padiff_arithmetic_average,ElasticModulus_difference,NdValence_difference,SecondIonizationEnergy_difference,BoilingT_max_value,NdValence_max_value,ElasticModulus_min_value,ThermalExpansionCoefficient_arithmetic_average,ThermalExpansionCoefficient_composition_average,MeltingT_composition_average,ICSDVolume_arithmetic_average,ShearModulus_difference,BoilingT_difference,Density_arithmetic_average
0.0,-4.43089710125,-3.96089058,-3.060207198,-3.96089058,-4.1050022975,-4.1050022975,-4.496076062,0.0,25.9206,4.0,0.0,1.3039999999999998,0.0,0.5775,12.126,4.8,-3.2103210950000003,1.1892,1.4,3.0835936200000003,0.0,20.1,4.306970948,5.5,23.6215,1323.0,227.0,4.61533031,89.0,-0.8340000000000001,1268.2,0.0,89.0,4028.8574,0.0,-0.5987499999999999,0.0,1.0,22.991,3473.0,1.0,34.0,390.0,468.0,562.08,27.35,0.0,3382.9,5035.7145
0.0,-3.8757292541666666,-3.96089058,-2.8120249160000004,-3.96089058,-4.1050022975,-4.1050022975,-4.2281543145,0.0,27.7934,4.0,1.36,1.350666666666667,0.0,0.5775,12.126,3.2,-3.046873786666666,1.1024,1.15,3.0835936200000003,15.399999999999993,20.4,3.8860974839999995,4.0,22.911,1323.0,227.0,4.427806806666666,89.0,-0.9755,1268.2,0.25,89.0,4112.8574,0.0,-0.4425,46.0,10.0,22.991,3473.0,10.0,34.0,266.3,471.78,544.466,23.9,0.0,3382.9,6853.809666666666
0.0,-4.2024057741666665,-3.96089058,-2.998066508,-3.96089058,-4.1050022975,-4.1050022975,-4.4241602265,3.0,27.261,1.0,1.39,1.3459999999999999,0.0,0.5775,12.126,4.0,-3.356943106666667,1.0996,0.54,4.69053992,96.1,20.8,4.628360208,5.333333333333334,22.023666666666664,1323.0,227.0,5.664911346666668,89.0,-0.8614999999999999,1268.2,0.8599999999999999,89.0,2554.8574,0.0,-0.2525,36.5,1.0,22.991,3473.0,1.0,34.0,267.7,472.62,484.174,23.766666666666666,0.0,3382.9,4257.142999999999
0.0,-4.5042277725,-3.96089058,-3.11102188,-3.96089058,-4.1050022975,-4.1050022975,-4.6052534255,1.0,27.221999999999998,3.0,1.44,1.3326666666666669,0.0,0.5775,12.126,3.6,-3.5452020600000003,1.0916,0.58,3.4011119800000005,64.1,20.1,4.37047462,4.666666666666667,21.958666666666666,1323.0,227.0,5.235102033333334,89.0,-1.5825,1268.2,0.82,89.0,3160.2574,0.0,-1.4541666666666666,5.0,10.0,22.991,3473.0,10.0,34.0,265.1333333333333,471.08,515.48,25.4,0.0,3382.9,5266.142999999999
0.0,-4.0238289374999985,-3.96089058,-2.904919646,-3.96089058,-4.1050022975,-4.1050022975,-4.3170141245,0.0,27.5996,4.0,1.57,1.35,0.0,0.5775,12.126,3.2,-3.201698336666667,1.102,0.85,3.0835936200000003,81.64000000000001,20.5,4.276496752,4.0,22.588,1337.33,227.0,5.0784722533333335,89.0,-0.9435,1282.53,0.5499999999999999,89.0,5874.8574,0.0,-0.38916666666666666,44.3,10.0,22.991,3473.0,10.0,34.0,264.73333333333335,470.84,564.946,23.86666666666667,0.0,3382.9,9790.476333333334
0.0,-5.179830785556667,-3.96089058,-3.261315334,-3.96089058,-4.1050022975,-4.1050022975,-5.010615233334001,3.0,28.5262,1.0,1.75,1.196,0.0,0.5775,12.126,4.0,-3.795691150000001,1.0096,0.23,7.1860734599999985,114.1,29.7,5.127466916,5.333333333333334,24.13233333333333,2348.0,227.0,6.49675586,89.0,-1.162,2293.2,1.17,89.0,2506.8574,0.0,-0.7533333333333334,407.0,1.0,22.991,4273.0,1.0,34.0,261.56666666666666,468.94,767.08,20.8,0.0,4182.9,4177.142999999999
0.0,-3.5951054875,-3.96089058,-2.652733534,-3.96089058,-4.1050022975,-4.1050022975,-4.0597800545,0.0,25.4962,4.0,0.81,1.6093333333333335,0.0,0.5775,10.004,3.0,-2.78138815,1.2576,1.4,4.55748643,0.0,45.5,3.3954736619999997,3.6666666666666665,19.082333333333327,1323.0,227.0,3.6101004366666665,89.0,-0.9495,1268.2,0.020000000000000014,89.0,2716.8574,0.0,-0.39916666666666667,21.0,1.0,25.113000000000003,3473.0,1.0,13.0,266.8666666666667,472.12,497.48,39.16666666666666,0.0,3382.9,4527.142999999999
0.0,-4.205610965833333,-3.96089058,-2.999083464,-3.96089058,-4.1050022975,-4.1050022975,-4.4260833415,0.0,27.1376,4.0,1.67,1.2426666666666668,0.0,0.5775,12.126,3.0,-3.358638033333333,1.0376,0.45,5.02257556,0.0,29.3,4.694767336,3.6666666666666665,21.818,1560.0,227.0,5.775589893333333,89.0,-0.9675,1505.2,0.95,89.0,2384.4574,0.0,-0.4291666666666667,267.0,1.0,22.991,3473.0,1.0,34.0,263.76666666666665,470.26,609.48,20.933333333333334,0.0,3382.9,3973.143
0.0,-4.278496200833333,-3.96089058,-3.0471058300000005,-3.96089058,-4.1050022975,-4.1050022975,-4.4698144825,1.0,26.8328,3.0,1.16,1.4360000000000002,0.0,0.5775,12.126,3.6,-3.4386753100000003,1.1536,1.03,5.38962379,31.099999999999994,20.1,4.768176982,4.666666666666667,21.31,1323.0,227.0,5.897939303333333,89.0,-1.5575,1268.2,0.3699999999999999,89.0,3970.8574,0.0,-1.4125,0.0,10.0,22.991,3473.0,10.0,34.0,264.46666666666664,470.68,406.36,30.0,0.0,3382.9,6617.142999999999
0.0,-3.603374589166666,-3.96089058,-2.653480924,-3.96089058,-4.1050022975,-4.1050022975,-4.0647415155,0.0,25.8696,4.0,0.91,1.526,0.0,0.5775,11.870999999999999,3.0,-2.7826338,1.2076,1.0,3.26170355,0.0,26.8,3.654630238,3.6666666666666665,19.704666666666668,1323.0,227.0,4.042028063333333,89.0,-1.1395,1268.2,0.3999999999999999,89.0,2324.8574,0.0,-0.7158333333333333,13.0,1.0,23.245999999999995,3473.0,1.0,21.0,267.43333333333334,472.46,520.48,32.93333333333334,0.0,3382.9,3873.809666666666
